title,singers,album,download_link,directors,year,film,cast
Because I Love You,"['Kunal Ganjawala', 'Gayatri Ganjawala']",Anthony Kaun Hai?,http://www.youtube.com/watch?v=AlSF9HUGN1g,['Himesh Reshammiya'],2006,Anthony Kaun Hai?,
Let's Rock,['Sunidhi Chauhan'],Anthony Kaun Hai?,http://www.youtube.com/watch?v=KbvJPA0i8hg,['Himesh Reshammiya'],2006,Anthony Kaun Hai?,
Ishq Kiya Kiya (Remix),"['Himesh Reshammiya', 'Sunidhi Chauhan']",Anthony Kaun Hai?,https://www.youtube.com/watch?v=0ZRxmpTMLWc,['Himesh Reshammiya'],2006,Anthony Kaun Hai?,
No Way No Way (Remix),"['Himesh Reshammiya', 'KK']",Anthony Kaun Hai?,https://www.youtube.com/watch?v=LX0FQ1KDxP0,['Himesh Reshammiya'],2006,Anthony Kaun Hai?,
Tune Mera Chain Vain Le Liya (Remix),"['Kunal Ganjawala', 'Shreya Ghoshal']",Anthony Kaun Hai?,https://www.youtube.com/watch?v=eTSijEp48zA,['Himesh Reshammiya'],2006,Anthony Kaun Hai?,
Bhangra Paale (Remix),"['Sonu Nigam', 'Saru Maini', 'Jayesh Gandhi']",Anthony Kaun Hai?,https://www.youtube.com/watch?v=1qf9VTSGRKE,['Himesh Reshammiya'],2006,Anthony Kaun Hai?,
Because I Love You (Remix),"['Kunal Ganjawala', 'Gayatri Ganjawala']",Anthony Kaun Hai?,https://www.youtube.com/watch?v=xQbN62szcSs,['Himesh Reshammiya'],2006,Anthony Kaun Hai?,
Let's Rock (Remix),['Sunidhi Chauhan'],Anthony Kaun Hai?,https://www.youtube.com/watch?v=dFL6IF71xKk,['Himesh Reshammiya'],2006,Anthony Kaun Hai?,
Maula Mere Maula (Aankhen Teri),['Roop Kumar Rathod'],Anwar,https://www.youtube.com/watch?v=1IDMbCkQZQs,['Mithoon'],2006,Anwar,
Dilbar Mera,['Pankaj Awasthi'],Anwar,http://www.youtube.com/watch?v=JX5gAFP3SSo,['Pankaj Awasthi'],2006,Anwar,
Javeda Zindagi (Tose Naina Laage),"['Shilpa Rao', 'Kshitij Tarey']",Anwar,https://www.youtube.com/watch?v=luDH1WCrM_A,['Mithoon'],2006,Anwar,
Bangla Khula,['Megha Sriram'],Anwar,https://www.youtube.com/watch?v=hFFzpw0tT4w,['Ghungroo'],2006,Anwar,
Jo Maine Aas Lagayi,['Pankaj Awasthi'],Anwar,https://www.youtube.com/watch?v=6M9Kx2OKEiQ,['Pankaj Awasthi'],2006,Anwar,
Mela - Shadow Of Sunlight,['Pankaj Awasthi'],Anwar,http://www.youtube.com/watch?v=64fu0q9U1RI,['Pankaj Awasthi'],2006,Anwar,
